RBP	penalties
MATR3	0.8854907067727824
ENOX1	18.989601769455454
PTBP1	4.353665124157863
RBMS3	12.570939718515065
RBM6	1.0526072599254124
LIN28A	18.006737513421893
HNRNPC	1.2573396144255657
HNRNPCL1	6.198396337808165
SNRNP70	2.1620479721318513
RBM8A	57.020702844344754
RBM3	8.712610808663367
PABPC3	6.267038971071631
RBM46	88.10506008410238
KHDRBS2	10.504672534983033
HNRPLL	3.368857003907222
RBM24	4.458608304138889
RBFOX1	14.004762148594907
A1CF	4.702831701187377
RBM41	2.8558999829227325
SNRPA	1.4317697598691197
FXR2	1.0795733643745968
HNRNPA1	4.552840904457769
HNRNPA1L2	10.54335620376237
HNRNPA2B1	0.4177743399660035
ZC3H10	0.8695097236091119
PPRC1	2.7799879260608455
RBM5	0.9917394108008722
IGF2BP2	2.052311514203096
ZNF638	1.6305939998789405
RBMS1	0.8701165305800708
SRSF9	3.231487462207593
FMR1	10.274967111551826
SFPQ	5.177907144754475
IGF2BP3	0.8886331224090157
PABPC1	2.6443169979368424
SART3	4.742845799316184
PABPN1	5.685214871630095
SRSF10	2.0947397775087877
FXR1	0.6338417471697373
PABPC4	5.337198308351756
YBX2	0.6101426852602052
YBX1	2.7972667749257254
RBM42	9.765637276081701
HNRNPL	1.3974269136316015
SRSF7	2.7879335408388912
QKI	1.6463539537579421
PABPC5	6.41953942544832
ANKHD1	0.9782712125921313
G3BP2	2.186464832800942
KHDRBS3	1.0182207055317274
KHDRBS1	4.745288959906574
CPEB2	13.002256539121504
PCBP1	34.1529392940438
PCBP2	1.4945445396964034
HNRNPK	2.1179227030612386
FUS	7.572426313190295
ZCRB1	1.8892778971170139
SRSF1	1.1845095127958774
RBM28	3.161504399138586
TARDBP	1.218309608582244
CNOT4	2.305015306404254
RBM45	1.8837625018690545
SAMD4A	1.1220866061104693
RBM4	7.021348975110389
MBNL1	1.4054617714761768
SRSF2	1.5651385018450101
HNRNPH2	0.9604998753142917
DAZAP1	2.7160889162508104
MSI1	1.6028329810775668
ESRP2	36.2151197475303
ZC3H14	8.276651062466373
TIA1	0.8059255548877682
U2AF2	1.8088876660409205
CPEB4	0.7317548550012597
RALY	6.826353061501854
