RefSeq	logFC
NM_018006	0.19162976331311668
NM_199424	0.13324389168211292
NM_002509	0.06114641638646
NM_003961	1.1997360695181178
NM_001973	-0.06377734874921698
NM_001021	0.4277008282978289
NM_181656	0.6001590569319094
NM_001085429	0.10434487569781943
NM_004209	0.41588620565739376
NM_138957	-0.43010411690621536
NR_001278	-0.06768864162046867
NM_004461	0.585980549062411
NM_006343	-1.6828226043943113
NM_145799	-0.03236909289840219
NM_025234	0.12357847397574748
NM_148170	-0.04833218016128908
NM_003333	1.0086436288704348
NM_001009606	0.06855245343641057
NM_001012413	-0.8495008434471941
NM_199478	0.20770079275178696
NM_005933	-0.4497775427959619
NM_001037813	-0.07857210331047439
NM_031314	0.7953300671727144
NM_001079827	-0.03694756839842925
NM_001017438	0.09236102623644388
NM_138281	0.007950199026208249
NR_030324	-0.13848289655149587
NM_017607	0.0827677582456192
NM_173178	-0.09294435515332054
NM_001029835	-0.01729950313946336
NM_005619	0.06383926727655331
NM_152434	-1.5231212508552736
NM_017542	-0.2627830532150456
NM_003310	0.5872217784232413
NM_207325	-0.5443363213425669
NM_198529	0.08763440028756335
NM_024503	-0.02219474468922986
NM_024103	1.0568532347412452
NM_145279	0.5292448826610064
NM_005166	0.152587535679008
NM_018279	-0.5668216175336309
NM_015361	0.023783937260592237
NM_020924	-0.2232003023969636
NM_207291	0.3127572927508918
NM_014637	0.030538349763474325
NM_182498	1.05356692942027
NM_001033677	-0.03154293650171343
NR_004397	0.05723522714269313
NM_005094	0.1085722166443911
NM_001012964	-0.7988269959315459
NM_147196	-0.022911440759254536
NM_013243	-1.459142065980311
NR_002959	-0.642213834065194
NM_145166	0.08750931916041797
NM_032566	0.9928328217335954
NM_024019	0.09341503155865546
NM_032782	-0.02032304420833932
NM_005803	1.1483195853960593
NM_015469	-0.3615145817547264
NM_032859	0.0163016590746378
NM_153353	-0.3088378890427416
NM_018406	-0.5334460881371487
NM_030756	-0.2500746343465491
NR_003950	0.6681909216347078
NM_001017922	0.12254428697110753
NR_024385	0.0950606327111426
NM_001200	-0.39890714568743946
NM_032461	-0.1153439615864664
NM_001005335	0.7156009307143102
NM_024301	-0.2099641046291455
NM_015480	-0.02676172634361377
NM_018105	-0.8688835278753828
NM_213725	0.21901235406538774
NM_012447	0.23321765407632875
NM_032510	0.7089397915967993
NM_018253	-0.0879915988726685
NM_001017977	-0.7118339531103479
NM_001017967	-0.09878120580374447
NM_001230	-0.051647036278013855
NM_138715	0.2151431947625736
NM_001037668	0.061456648809500164
NR_003360	-0.0020967708782842673
NM_000204	0.3680581510610064
NM_004988	0.15532099117337633
NR_024365	0.06678845417894523
NM_004220	0.6724077521024562
NM_001031732	-0.3380683054439257
NM_004657	-0.6958894169873122
NM_134445	0.2655597316004769
NM_080725	0.686280602556083
NR_001279	0.0470393974929551
NM_019082	0.5168361440603552
NM_133447	-0.025282982277369432
NM_153697	-0.10352716637700296
NM_021911	0.02544754548393145
NM_145806	0.8635698425956345
NM_145914	-0.19823986306367936
NM_001130407	0.10584444483070957
NM_033208	-0.6034110037973994
NM_207032	-0.2910560760230313
NM_198483	-0.07993101584754991
NM_001002002	0.8717764921206179
NM_022497	-0.7105403721174977
NM_001004064	0.1253823595282106
NM_001005920	1.0378580764790009
NM_003564	0.3423285274292289
NM_025147	-1.1316591879124809
NM_001123065	0.2741073988279287
NM_001010862	-0.29204117320959005
NM_145898	0.227630952314039
NM_198501	-0.5642269945668423
NM_005750	0.0367681398309818
NM_000550	0.07108112508122
NM_002115	0.057151906150375936
NM_019863	-0.05517656976808908
NM_015497	-0.4618412583674592
NM_058241	-0.6973504158487293
NM_022090	-1.0624174914569624
NM_178865	-0.2175985297202403
NR_002925	0.060222326113861635
NM_001130727	0.2514077242717769
NM_032192	0.22558978777212596
NM_032145	-0.8166931703846059
NM_014231	-0.2715054601773749
NM_133458	-0.20784023086017495
NM_006010	0.3083525092981013
NM_006002	-0.7122450351260498
NM_032117	-0.2648334494025161
NM_020421	0.20773195806145028
NM_001010923	-0.20171843891352173
NM_015343	0.41540827452219536
NM_000983	0.26415918197259153
NM_198137	-0.02862904769090447
NM_173584	1.3530747243876222
NM_175063	0.2647994609849784
NM_031886	0.06053186280567707
NR_003230	0.1325904068888632
NM_201281	-0.4426605655585485
NR_002751	0.030089385543489763
NM_147127	-0.03564710823195348
NM_181806	-0.126991299555678
NM_005369	-0.1968967808324017
NM_173482	-0.18642982057354568
NM_015654	0.7890166852799626
NM_052857	-0.12104387007786015
NM_001012659	0.08089926931293706
NM_005011	0.13908413765378155
NM_013373	0.9358497679005596
NM_006138	0.10783515184052796
NM_003810	-1.3286800703273791
NM_000950	-1.4542655949975767
NM_014406	0.00537770290918453
NM_199354	-0.09605793442580142
NM_173054	-0.18093714754907456
NM_001490	-0.2174340547849533
NM_003523	-0.7625631041939147
NM_177559	-0.03538797790073596
NM_000969	0.623702826508973
NM_003071	-0.7135810900202056
NM_145043	1.1109067314189751
NM_001040214	0.30691760543537894
NM_014246	-0.0679430330429019
NM_000617	-0.6023359861829546
NM_213652	0.1071417661699126
NM_007209	0.11155295059230637
NR_024167	0.4695940303793002
NM_014047	0.4377557991235798
NM_001014446	0.9542207955161413
NM_017899	1.1184053745255629
NM_145202	-0.16428409221305595
NM_014320	-0.1689407311420355
NM_004805	-0.12741685115148427
NM_152850	0.12820742019883544
NM_000409	-0.06786029790000306
NM_031854	-0.13371846417543612
NM_052867	0.044323844533271976
NM_001098533	0.6942447348104728
NM_007372	-0.008383083775240576
NM_012433	-1.2416748394443684
NM_174908	-0.4814293139450608
NM_181864	-0.13861208019574572
NM_182526	0.15982049911451687
NM_198395	-1.0487149231653508
NM_001025778	0.7025559195649679
NM_001005189	0.06669442769481418
NM_003462	0.1968413623542209
NM_006613	-0.3019093142494565
NM_152536	-2.5827434367805275
NM_002504	0.35369212500213376
NM_015686	0.18255760131206866
NM_182552	-1.310045831577506
NM_001040021	-0.3912431416556941
NM_002558	0.1071429717868318
NM_003547	0.22098251586249806
NM_017748	-0.168976114175327
NM_018057	-0.1323149038837563
NM_199162	1.4692311605064097
NM_001037633	0.7538883957318583
NM_004212	1.8530465685488602
NM_000750	-0.09539515238630153
NM_005842	0.12938211427706126
NM_015388	1.0122371102618963
NM_006650	0.04846001098151813
NM_032270	0.30199134183333026
NM_198273	-0.17263989985207207
NM_032928	1.3315268469821495
NM_173831	-0.2964189555483933
NR_002569	0.24482871918889024
NM_003198	0.34184309878379304
NM_002160	-2.082976160746723
NM_018484	-0.12397447345238592
NM_002176	-0.17982566382430218
NM_001014986	0.03289194138941367
NM_138927	-0.864147593233103
NM_000499	0.4593871025501988
NM_000895	0.5120864629913836
NM_001093728	0.018901478451869683
NM_001012984	0.20533130436489155
NM_033157	-1.655490568892804
NM_004064	-0.11952447800957827
NM_032872	0.7857704206854178
NM_133329	-0.043827471610509636
NM_024303	0.4625395937482685
NM_138615	0.4924895243690203
NM_172128	-0.3082223229996117
NM_001080419	-0.12431692155849285
NM_139125	-0.017555320128703457
NM_007261	-0.06883793901151397
NM_001003680	-0.1287630959026672
NM_016628	-0.4164220001078491
NM_152441	-0.10631833765509607
NM_198464	0.008516708384484203
NM_020373	-0.637104132436802
NM_001004733	0.038967796159810976
NM_001083601	0.3048230179825461
NM_005414	-0.1872588502144765
NM_002240	0.4277618743636848
NM_001568	-0.6335621599857466
NM_153186	0.05591439296062692
NM_015077	0.2329312932979829
NM_016174	-0.4804258215858362
NM_003477	-0.5576622629792631
NM_000411	-0.3784882299731209
NM_001005239	0.08677340668320907
NM_015717	0.030538303155170306
NM_024923	0.4827219157750383
NM_080647	-0.14819599007059708
NM_003700	-0.03673434906843536
NM_144696	0.14442609273622753
NM_002342	0.07720486880614691
NM_016478	0.3114270115751939
NM_053017	0.4870151026525426
NM_199188	-0.15666446467297782
NR_002734	-0.20828183287670668
NM_004828	-0.03749776512556787
NM_001378	-1.29540658461727
NM_001042704	1.7747079664844865
NM_014321	-0.5017219154716197
NR_002595	-0.03879181892162743
NM_153219	1.0658572278958232
NR_026983	0.06361342374145769
NR_003558	0.009187160773883441
NM_005805	-0.8939910906336725
NM_017811	0.19496359439676836
NM_001152	0.007113833096442059
NM_012420	-0.4032986527809001
NM_000890	-0.6749048367251966
NM_016535	1.6967195155081851
NM_033624	-0.2794476024175968
NM_004568	0.6264557785664382
NM_053064	-1.0675100248263425
NR_029617	-0.08776879378781882
NM_144969	-0.110903824654785
NM_003648	0.234706211788115
NM_001033047	0.18726376425972055
NM_013277	-0.3427302487939019
NM_015194	-1.1129675413632305
NM_021969	0.35868443387943394
NM_018198	0.26116468435550066
NM_020235	-0.8212682278364989
NM_020808	0.16809429962485625
NM_001004720	-0.7825835659822851
NM_020387	0.5112334621478735
NM_003285	-0.0006595083791862237
NM_021069	-0.027139143459584444
NM_005931	0.1571567816371385
NM_001037735	-0.7155099942441837
NM_144998	0.7562566504541807
NM_006116	0.7095222745767931
NM_016581	1.019243246320734
NM_032620	0.4759169782775888
NM_020344	0.275605367980932
NM_013358	-0.18244265211045346
NM_052853	0.8030283911287138
NM_181306	1.0040305888577887
NM_003481	0.6232725598839373
NM_003901	-0.7473385233732996
NR_002938	-0.07648218872535048
NM_004543	-0.6349547440295478
NM_014679	-0.5633038000000483
NM_206948	0.091913936202819
NM_002379	-0.1456317948532041
NM_006714	-0.03202757167642172
NM_000458	0.057074444976586675
NM_006282	-1.390270062114562
NM_004197	0.8292397473667948
NM_018474	-1.5486968888257933
NM_006165	-0.3019939589140847
NM_152577	-0.03789205650009622
NM_006101	-0.8474276910044443
NM_033204	-0.5864130411246629
NM_016475	-0.913258009839128
NM_007077	-0.1876054345308277
NM_178832	0.4264029410258373
NM_001034850	-0.3403751836887143
NM_001080466	1.4776893679250571
NM_031433	0.08740347501942186
NM_152362	-0.0036552105600049186
NM_021633	-0.12886799925820128
NM_005676	0.3082289890855297
NM_001008737	-0.11046828012425446
NM_032842	-0.8015751295983273
NM_133367	0.6041043262391779
NM_178013	-0.0823225884993233
NM_007299	-1.0103685512887717
NM_001039693	-0.2519457783416777
NM_133645	0.0645162662810824
NM_152623	-0.014116663354189738
NM_021827	-0.2271294719580868
NM_138980	0.09170917344552597
NM_033637	-0.13597065530711022
NR_029618	-0.14318261694582762
NM_032973	-0.0033224996599109827
NM_004061	0.2633577907610363
NM_178123	-0.904043164047964
NM_152510	-0.10398651048008938
NM_001259	-1.3877578662976675
NM_032639	-0.09482006154980813
NM_017952	-0.17779439190927238
NR_030343	0.015762366675726457
NM_138713	-0.9379945463197584
NM_000832	0.059502608791073434
NM_032545	0.002987519337984739
NM_031263	-0.433857377735179
NR_002588	-0.5935108221302241
NM_020803	-0.34071357388921564
NM_002957	0.6561850768899464
NM_000544	-0.7391827425306741
NM_178466	0.025494165541638702
NM_152677	0.06621857106700538
NM_004607	0.10585558817424326
NM_182833	0.06568575409905436
NM_006354	0.7694721477987574
NM_022064	0.5708159425229515
NM_175575	-0.03375287228221354
NM_001005499	-0.02771708729517001
NM_006920	0.11714664442504055
NM_032126	-0.05594238616576444
NM_005180	-1.325546286202096
NM_015185	0.15465736417585418
NM_024293	-0.1267468506614976
NM_004200	-0.2621739674961486
NM_001124	-1.4762450294775196
NM_138731	0.012858834993805414
NM_017918	0.5942296452137314
NM_001007540	-0.047799801753629266
NM_001620	-0.2608755114909345
NM_203462	-0.14015305568313452
NM_017680	0.00532475775921108
NM_001079534	-0.03079608308084861
NR_030156	0.01772509434268445
NM_032208	0.3720368171916095
NM_025029	-0.014860924542892324
NM_213662	0.2423764829918582
NM_015162	0.2044571665553248
NM_001005910	0.449075028323795
NM_001024921	1.1257339745726544
NM_198527	1.08754730172083
NM_001005205	0.07234995610175445
NM_022148	-0.01669338231380386
NR_003186	-0.03010566728687078
NM_001006	0.34176782116542065
NM_000794	-0.10880872301821434
NM_005817	0.2393966453847568
NM_001033925	-0.11638231065733795
NR_002171	0.2595003790137966
NR_024456	-1.271938121656868
NM_181689	0.20077594324387893
NM_014481	-0.17577106191961092
NM_182506	0.034127647351436405
NM_001080429	0.02402181814953185
NM_006028	0.014094857978292862
NM_213608	0.09381559717091068
NM_201274	-0.7275331726798506
NM_001042664	0.002631862701223744
NM_030623	-0.058713702282343835
NM_000075	0.7349695414248467
NM_000916	-1.0697897241091434
NM_147223	-0.6990695913359248
NM_020664	0.6118997398217696
NM_006482	-1.014097170832542
NM_024605	-0.0624010847231061
NM_001099270	-0.6558994952107153
NR_003266	-0.21275719052438655
NR_029500	-0.055943143857740525
NM_004335	0.7233234198631671
NM_080681	-0.000912686754495476
NM_015156	-0.24588705157198135
NM_003061	-0.4850973972804546
NM_006144	-0.06458628300156444
NM_030803	-0.17374302341454353
NM_001079907	0.2450396513769188
NR_024478	0.1583863761712616
NM_003221	-0.011156015247087744
NR_024615	-0.02004893126449888
NM_144602	0.10840378435687388
NM_033187	0.052729627239176485
NM_207103	-0.051081828993463314
NM_006938	-1.0209819889004983
NM_198066	0.3595466608128932
NM_024615	0.8505163661595985
NR_023385	0.0283156634249543
NM_003929	0.5030985930095813
NM_019008	0.31929417673445204
NM_007110	0.056135527972765456
NM_015641	-0.3004855683120503
NM_153703	-0.05489722644484127
NM_199450	0.0399710765097588
NM_024298	-0.021511006678130325
NM_004526	0.3501069971450086
NR_024041	0.008709089805026564
NM_001099668	-1.1853603131439552
NM_014222	0.23259186546246144
NM_000502	0.10376531554903057
NM_000710	-0.03732089854162899
NM_004555	-0.022406666387234403
NM_139135	-0.3235611346078908
NM_198989	0.0025176518522372422
NM_003363	-0.2029806726490833
NR_029890	0.04122566504703328
NM_080664	-0.09007642787116696
NM_016272	0.5269466316917173
NM_003536	-0.4959755312085381
NM_176805	0.5304027511038863
NR_015451	-0.8024393625875066
NM_005112	-0.014766515678454184
NM_181727	0.10488827598628472
NM_054104	-0.015826960338767418
NM_178007	0.010634658867717988
NM_006511	-0.3718974885649192
NM_003194	0.270092263456375
NM_032096	-0.048725562948210566
NM_006597	-0.30004627446319443
NR_029636	0.006205387900638955
NM_002526	-1.4086537119307387
NM_001042353	0.2609469621423324
NM_033119	-1.8817332237225493
NM_033305	-0.5630139682713095
NM_014208	-0.07969151760373366
NM_018299	-0.19763339684522527
NM_172311	-0.02918785053867796
NM_145698	-0.09439719229061187
NM_001553	-1.6236846768570827
NM_001998	-1.5296410901082271
NM_198965	-0.4801367173079801
NM_001099415	0.2602301863974887
NM_004457	-0.9425001125888429
NM_032799	0.09171192169945312
NM_006341	0.5637077738720456
NM_001009909	0.058290860861262464
NM_145738	-0.009698742468936795
NM_198526	-0.05160689510084219
NM_181839	0.6477578329947018
NM_181805	-0.13258132164209488
NM_198227	-0.07509341520069578
NM_012100	0.3003591397932914
NM_006371	0.011786133511369009
NM_021813	0.02981470213625105
NM_001037293	-0.3726910080592287
NM_033347	0.07205490693750327
NM_033091	0.12786451991579956
NM_152515	-1.5611607832212269
NM_000373	0.1197579481790187
NM_001093771	0.28355280906631825
NM_014443	-0.02899350541246205
NR_029630	0.009425200921895796
NM_001077664	-0.1049659527784503
NM_004276	0.2762057965248277
NR_024011	-0.3420759055428456
NM_004114	0.7290756036258592
NM_003807	-0.027266488201875053
NM_015897	0.5914624307195931
NM_018939	0.022370623953226747
NM_006986	0.5231719137710609
NM_001010977	-0.08703319685681528
NM_145018	-1.9984905648098912
NM_014617	-0.13316614378858327
NM_001788	-0.804940511327155
NM_001112	-0.37420390093754863
NM_001428	0.12182794227444055
NM_145239	0.02794912901009132
NR_003599	-1.2778941462399036
NM_015629	0.2458181530460272
NM_004721	0.04491994564515348
NM_022486	-1.4389020397524663
NM_178124	0.3365619166222269
NM_052931	0.018742329971557944
NM_001039348	-0.33299552802739874
NM_003369	-0.5027519605463245
NM_198560	0.11220081940101567
NM_007266	0.11687213193325473
NM_001123376	-0.0039688370075003756
NM_032531	0.09988983377863206
NM_032853	0.3794266250807341
NM_145326	-0.04638199827553577
NM_003972	-1.1190594171827906
NM_015197	0.403507889742948
NR_003076	-0.01608125239801124
NM_032272	0.8014048454085678
NM_032448	-0.14317584733133776
NM_004820	0.028716839961231817
NM_019086	-0.4419661270926776
NM_001229	0.19493142812428785
NM_032406	-0.05442376652991922
NM_020787	-0.013640069766963305
NM_148956	0.4258198427762851
NM_182898	0.14196313297688234
NR_030580	-0.06548868595998368
NM_021930	-0.6458955566671314
NM_001025231	-0.1693791362640641
NM_177937	-0.31835628564798985
NM_020746	-0.20754592934112087
NM_015353	0.15200213581039662
NM_023932	-0.011036514543163484
NR_003682	0.026259250676263397
NM_018143	0.008123930355499655
NM_021020	-0.0728775867043048
NM_001008711	-0.0656924770680142
NM_019040	-0.3821240104433608
NR_002954	2.463379472963981
NM_005875	0.08152052611915465
NM_015028	-0.6144662890018474
NM_032340	1.1596579869141872
NM_001999	-0.0274409601973018
NM_138617	0.13910412460555985
NM_020384	3.663871651231727
NM_001443	0.1781761092311231
NM_020315	0.9845654167953772
NM_030786	-0.1618939381076316
NM_016255	-0.2305449803044028
NM_005515	0.4038179776698448
NM_145062	-0.4939823203290538
NM_017790	-0.06969141961906178
NM_183241	0.5403725009226392
NM_001017920	-0.12572225927718345
NM_031896	0.03638041594513797
NM_152465	-0.0543316901014252
NM_005955	-0.4249274030376536
NM_178582	-0.3914899275592865
NR_003015	-0.1034515929294674
NM_019059	0.4867685981748997
NM_001080518	0.02024061721839726
NM_014967	-0.5805385671801896
NM_014586	-0.03663321820710305
NM_012343	-0.3610808426227336
NM_198551	-0.3489835317127156
NM_144687	0.06584673253116273
NM_138424	-0.08615264135130808
NM_152308	-0.4845157483687776
NR_002993	-0.13454445146394406
NM_001733	0.4426149716621954
NM_032805	-0.04418635482109197
NM_016073	-0.33408878149876164
NM_005459	0.03655177569855712
NM_182749	-0.5237365327129888
NM_032523	-0.4519503038272016
NM_001228	-0.15263401511706692
NM_181605	0.07454235736871911
NM_005211	-0.493736640474692
NM_022079	-0.7293418298564507
NR_004401	0.037511820071961084
